timestamp_ms,frame_time_ms,fps
0.153,106.752,9.367
106.940,0.631,1585.261
107.579,2.944,339.652
110.534,12.943,77.262
123.493,26.541,37.678
150.043,146.176,6.841
296.230,0.509,1965.189
296.744,2.697,370.771
299.460,1.322,756.526
300.798,1.336,748.248
302.150,2.274,439.790
304.462,1.471,679.840
305.977,1.518,658.657
307.526,1.405,711.574
308.960,1.845,542.037
310.830,4.738,211.070
315.623,1.978,505.590
317.663,1.714,583.482
319.431,1.625,615.357
321.105,1.825,548.041
322.963,1.491,670.832
324.483,1.528,654.247
326.059,2.239,446.555
328.333,4.161,240.338
332.548,1.386,721.681
333.971,1.984,504.076
335.981,1.428,700.387
337.445,1.574,635.267
339.077,1.647,607.239
340.769,1.522,657.081
342.338,1.766,566.404
344.139,4.521,221.206
348.702,1.401,713.913
350.132,1.642,609.151
351.813,1.473,678.715
353.324,1.469,680.680
354.828,1.608,621.862
356.495,1.400,714.524
357.917,1.561,640.778
359.518,4.467,223.842
364.016,1.444,692.357
365.486,1.742,574.157
367.292,1.393,717.880
368.711,1.764,566.920
370.514,1.352,739.821
371.894,1.653,605.015
373.573,1.440,694.684
375.047,1.839,543.848
376.931,5.010,199.611
381.991,1.538,650.120
383.567,1.781,561.478
385.391,1.522,657.199
386.952,1.682,594.582
388.668,1.572,636.093
390.272,1.333,750.207
391.662,1.419,704.512
393.104,4.758,210.190
397.893,2.828,353.581
400.805,2.459,406.701
403.302,1.284,778.978
404.615,1.360,735.195
406.014,1.364,733.350
407.408,1.340,746.246
408.777,1.804,554.404
410.631,3.842,260.260
414.515,1.487,672.598
416.042,1.377,726.354
417.448,1.454,687.988
418.976,1.944,514.304
420.957,1.468,681.021
422.455,1.348,741.925
423.833,1.343,744.339
425.247,1.563,639.784
426.841,4.190,238.643
431.110,1.377,726.416
432.529,1.399,714.997
433.958,1.370,729.906
435.371,1.219,820.533
436.623,1.345,743.686
438.015,1.325,754.740
439.375,1.529,654.176
440.935,1.554,643.528
442.523,1.857,538.588
444.414,3.637,274.965
448.100,1.586,630.416
449.726,1.338,747.439
451.098,1.476,677.335
452.616,1.205,829.816
453.847,1.402,713.339
455.287,1.267,788.967
456.590,1.328,752.802
457.946,1.449,689.942
459.425,5.118,195.382
464.572,1.421,703.509
466.031,1.384,722.572
467.455,1.386,721.535
468.870,1.563,639.896
470.467,1.287,777.136
471.777,1.467,681.858
473.293,1.550,645.080
474.873,1.503,665.251
476.402,4.147,241.166
480.584,1.278,782.424
481.895,1.482,674.833
483.421,1.493,669.863
484.967,1.330,752.037
486.322,1.271,786.633
487.621,1.305,766.507
488.952,1.470,680.158
490.458,1.428,700.189
491.930,1.967,508.473
493.927,3.884,257.499
497.859,1.414,707.262
499.330,1.710,584.724
501.086,1.355,738.140
502.476,1.383,723.234
503.885,1.766,566.150
505.702,1.877,532.684
507.617,1.312,762.240
508.965,2.093,477.698
511.098,3.914,255.480
515.096,1.622,616.439
516.760,1.389,719.914
518.227,1.391,718.696
519.652,1.476,677.712
521.166,1.448,690.610
522.637,1.418,704.996
524.087,1.511,661.804
525.646,2.321,430.875
528.000,3.662,273.065
531.721,1.603,623.841
533.358,1.532,652.820
534.945,1.427,700.754
536.408,1.504,664.704
537.946,1.434,697.323
539.415,1.529,653.833
540.971,1.459,685.461
542.494,2.115,472.784
544.637,4.142,241.439
548.849,1.664,601.111
550.553,1.480,675.629
552.074,1.592,628.253
553.696,1.338,747.140
555.060,1.591,628.427
556.686,1.413,707.870
558.136,1.613,620.129
559.773,4.387,227.950
564.258,2.850,350.819
567.179,2.665,375.187
569.900,1.454,687.761
571.398,1.346,742.907
572.783,1.290,775.083
574.120,1.422,703.165
575.574,2.174,460.010
577.786,3.852,259.589
581.755,1.566,638.541
583.355,1.328,752.794
584.726,1.427,700.986
586.253,1.359,735.984
587.649,1.332,750.552
589.016,1.348,741.602
590.393,1.917,521.664
592.344,1.918,521.451
594.311,3.826,261.366
598.304,1.394,717.123
599.734,1.361,734.869
601.123,1.765,566.677
602.939,1.438,695.180
604.405,1.424,702.411
605.861,1.484,674.012
607.381,1.432,698.228
608.843,1.885,530.561
610.763,4.165,240.099
614.985,1.524,655.998
616.553,1.467,681.630
618.059,1.426,701.141
619.507,1.364,733.282
620.897,1.611,620.889
622.551,1.742,574.105
624.329,1.333,750.434
625.696,2.259,442.725
627.999,3.743,267.182
631.793,1.364,732.970
633.241,2.059,485.684
635.346,1.273,785.672
636.651,1.363,733.866
638.042,1.457,686.117
639.534,1.562,640.322
641.145,1.310,763.073
642.504,4.639,215.549
647.177,1.514,660.387
648.747,1.491,670.483
650.281,1.584,631.168
651.920,1.695,590.138
653.669,1.345,743.731
655.049,1.405,711.735
656.482,1.446,691.416
657.956,1.566,638.685
659.552,4.791,208.714
664.396,1.308,764.788
665.746,1.649,606.610
667.439,1.291,774.766
668.772,1.375,727.141
670.181,1.436,696.204
671.651,1.384,722.710
673.079,1.419,704.785
674.529,1.384,722.419
675.954,5.216,191.723
681.224,1.260,793.628
682.517,1.533,652.134
684.107,1.662,601.614
685.805,1.724,579.978
687.563,1.285,778.411
688.871,1.487,672.583
690.421,1.397,715.683
691.862,2.038,490.794
693.933,4.021,248.716
698.008,1.387,720.951
699.436,1.676,596.495
701.162,1.441,694.012
702.643,1.855,539.103
704.530,1.535,651.579
706.109,1.366,732.121
707.509,1.452,688.775
708.995,1.986,503.458
711.006,3.957,252.737
715.040,1.555,642.920
716.630,1.337,748.085
717.995,2.066,484.044
720.109,1.703,587.254
721.849,1.529,653.841
723.411,1.386,721.328
724.830,1.546,646.946
726.405,4.699,212.816
731.145,2.880,347.265
734.104,2.260,442.563
736.397,1.251,799.274
737.694,1.277,783.084
738.994,1.445,692.228
740.481,1.308,764.254
741.821,1.763,567.239
