timestamp_ms,frame_time_ms,fps
0.154,16.020,62.422
16.222,0.578,1730.442
16.806,3.468,288.368
20.293,0.342,2919.836
20.644,0.433,2309.080
21.087,17.223,58.062
38.321,22.638,44.174
60.969,16.270,61.464
77.262,0.556,1798.551
77.829,0.276,3622.519
78.110,0.364,2748.461
78.483,0.291,3436.769
78.779,0.346,2891.962
79.128,0.338,2955.022
79.471,0.387,2582.218
79.862,0.351,2850.115
80.217,0.362,2759.443
80.584,0.352,2844.173
80.939,0.435,2300.178
81.378,0.413,2419.802
81.795,0.456,2190.998
82.256,0.460,2174.594
82.733,10.144,98.578
92.943,0.838,1192.882
93.789,0.629,1590.579
94.424,0.920,1086.684
95.354,0.864,1157.129
96.238,1.147,872.134
97.422,0.867,1153.871
98.301,0.855,1169.272
99.172,0.841,1188.471
100.037,11.138,89.780
111.197,0.552,1811.512
111.774,0.499,2005.403
112.279,0.453,2208.734
112.737,0.396,2523.271
113.138,0.509,1965.629
113.652,0.483,2071.835
114.139,0.435,2298.470
114.605,0.392,2551.463
115.003,0.716,1396.831
115.735,12.751,78.424
128.568,1.115,896.503
129.716,0.668,1496.811
130.397,0.638,1568.022
131.045,0.878,1138.496
131.952,0.703,1422.582
132.668,0.527,1896.580
133.201,10.258,97.481
143.506,0.535,1869.945
144.047,0.364,2748.249
144.415,0.503,1988.593
144.924,0.350,2856.164
145.279,0.360,2774.864
145.646,0.304,3292.636
145.954,0.355,2820.373
146.313,0.518,1930.946
146.838,0.431,2318.303
147.276,0.449,2228.437
147.732,0.356,2808.003
148.093,0.401,2492.286
148.500,12.431,80.447
160.967,0.556,1797.262
161.529,0.464,2155.484
161.999,0.350,2859.046
162.354,0.405,2467.168
162.764,0.322,3103.691
163.092,0.391,2554.624
163.489,0.391,2554.376
163.885,0.341,2935.504
164.230,0.512,1951.494
164.748,0.408,2449.192
165.161,10.776,92.796
175.987,0.588,1702.035
176.585,0.599,1668.082
177.190,0.455,2195.814
177.650,0.413,2421.184
178.068,0.381,2621.582
178.454,0.407,2459.498
178.865,0.350,2855.601
179.220,0.376,2660.084
179.601,0.359,2786.167
179.964,0.358,2796.773
180.326,0.363,2751.463
180.694,0.410,2439.911
181.108,0.394,2540.521
181.506,0.415,2411.347
181.925,12.206,81.924
194.178,0.589,1696.678
194.774,0.555,1801.575
195.335,0.576,1736.126
195.921,0.460,2176.122
196.386,0.363,2752.175
196.754,0.365,2742.092
197.123,0.355,2813.462
197.483,0.429,2332.933
197.917,0.368,2720.245
198.289,3.392,294.803
201.714,0.511,1958.120
202.230,0.434,2306.427
202.667,0.410,2441.162
203.081,0.385,2594.512
203.471,0.562,1780.887
204.037,0.386,2587.382
204.428,0.445,2246.742
204.877,0.383,2609.392
205.265,0.456,2192.607
205.725,0.350,2859.340
206.079,0.487,2055.101
206.573,0.486,2059.206
207.087,0.428,2337.071
207.520,0.488,2049.907
208.037,0.458,2183.454
208.499,0.475,2106.088
208.979,0.421,2373.301
209.405,0.495,2021.251
209.903,0.452,2213.599
210.360,0.519,1927.313
210.882,0.436,2293.441
211.323,0.554,1805.990
211.880,0.581,1720.839
212.466,0.608,1645.386
213.078,0.565,1769.523
213.647,0.547,1828.441
214.198,0.651,1535.584
214.853,3.856,259.316
218.729,0.611,1637.835
219.345,0.497,2013.413
219.846,0.432,2315.603
220.283,0.493,2028.496
220.780,0.456,2190.993
221.242,0.423,2361.905
221.670,0.427,2342.732
222.106,0.480,2082.370
222.593,0.557,1794.063
223.156,0.547,1829.394
223.708,0.756,1322.040
224.471,0.720,1388.764
225.196,0.791,1264.813
225.995,0.693,1442.679
226.703,0.648,1543.162
227.361,0.620,1613.976
227.995,0.569,1756.136
228.570,0.450,2224.397
229.025,0.469,2132.037
229.499,0.449,2229.247
229.952,0.374,2677.261
230.331,0.379,2638.334
230.714,0.434,2301.766
231.155,0.406,2463.224
231.567,0.429,2331.491
232.001,0.855,1169.767
232.869,3.255,307.242
236.145,0.570,1754.851
236.722,0.454,2201.654
237.182,0.519,1928.201
237.710,0.571,1749.803
238.307,0.491,2038.304
238.828,0.531,1884.652
239.365,0.427,2340.063
239.799,0.421,2375.923
240.246,0.390,2565.208
240.641,0.405,2469.428
241.051,0.395,2529.705
241.451,0.386,2592.910
241.841,0.383,2614.154
242.228,0.382,2618.308
242.615,0.426,2346.564
243.046,0.381,2624.383
243.432,0.379,2638.056
243.816,0.380,2629.171
244.201,0.396,2523.806
244.602,0.387,2582.565
244.993,0.375,2664.251
245.373,0.373,2682.763
245.750,0.377,2655.598
246.131,0.372,2688.143
246.508,0.389,2570.344
246.901,0.386,2587.610
247.292,0.418,2394.963
247.714,0.366,2732.308
248.085,0.432,2314.477
248.522,3.693,270.802
252.251,0.521,1920.388
252.777,0.404,2473.472
253.186,0.402,2488.658
253.593,0.386,2591.600
253.983,0.384,2604.431
254.371,0.373,2681.037
254.749,0.413,2421.636
255.168,0.486,2055.498
255.665,0.575,1740.041
256.262,0.666,1501.143
256.947,0.885,1129.462
257.867,0.992,1007.909
258.891,0.792,1262.795
259.712,0.709,1410.977
260.429,0.439,2277.059
260.874,0.421,2373.104
261.300,0.400,2499.150
261.705,0.376,2663.045
262.085,0.371,2693.813
262.461,0.392,2549.778
262.858,0.371,2693.334
263.234,0.402,2489.389
263.640,0.373,2680.757
264.018,0.386,2592.070
264.408,0.399,2504.213
264.812,0.391,2554.663
265.209,3.784,264.254
269.016,0.522,1915.092
269.543,0.420,2380.057
269.968,0.452,2214.629
270.425,0.409,2447.327
270.838,0.411,2433.641
271.254,0.492,2034.522
271.750,0.411,2434.269
272.170,0.406,2464.991
272.583,0.402,2489.532
272.990,0.389,2569.030
273.383,0.413,2421.179
273.801,0.390,2562.112
274.196,0.400,2497.802
274.601,0.401,2493.809
275.006,0.392,2550.110
275.404,0.393,2542.414
275.802,0.393,2543.080
276.200,0.401,2493.504
276.606,0.408,2448.748
277.019,0.392,2552.903
277.415,0.390,2567.394
277.810,0.407,2456.586
278.221,0.398,2513.314
278.624,0.406,2460.787
279.035,0.391,2556.649
279.430,0.390,2564.181
279.825,0.407,2457.033
280.236,0.493,2028.871
280.734,0.417,2399.923
281.155,0.458,2182.767
281.618,3.543,282.242
285.179,0.510,1961.985
285.694,0.384,2601.524
286.083,0.409,2447.333
286.496,0.399,2509.373
286.899,0.404,2476.829
287.307,0.388,2577.047
287.700,0.377,2653.991
288.081,0.392,2549.063
288.478,0.495,2020.292
288.980,0.437,2290.835
289.422,0.585,1708.342
290.024,0.729,1371.592
290.795,0.822,1216.314
291.642,0.762,1311.792
292.429,0.756,1322.080
293.205,0.685,1459.995
293.898,0.601,1662.643
294.505,0.509,1966.019
295.019,0.471,2121.971
295.495,0.438,2281.964
295.938,0.428,2334.654
296.371,0.425,2353.246
296.800,0.412,2426.389
297.216,0.432,2315.753
297.652,0.426,2344.946
298.082,3.667,272.718
301.781,0.542,1843.481
302.330,0.485,2062.647
302.820,0.427,2343.221
303.251,0.574,1742.807
303.831,0.353,2830.440
304.205,0.332,3015.982
304.542,0.379,2636.964
304.925,0.328,3051.842
305.257,0.390,2562.276
305.652,0.318,3149.180
305.973,0.332,3011.921
306.309,0.474,2111.772
306.795,0.358,2792.399
307.158,0.321,3113.616
307.483,0.325,3075.617
307.816,0.322,3107.240
308.142,0.322,3106.304
308.468,0.347,2883.249
308.819,0.337,2965.159
309.160,0.343,2918.472
309.506,0.336,2973.164
309.847,0.337,2966.312
310.187,0.451,2215.149
310.645,0.639,1564.541
311.289,0.644,1551.766
311.940,0.464,2156.590
312.409,0.467,2139.495
312.882,0.480,2082.630
313.367,0.491,2038.694
313.862,0.554,1805.592
314.420,0.597,1675.760
315.023,3.413,293.002
318.465,0.511,1957.943
318.981,0.367,2723.274
319.353,0.402,2486.727
319.761,0.372,2685.681
320.138,0.374,2673.875
320.516,0.366,2728.640
320.887,0.365,2740.928
321.256,0.369,2711.710
321.629,0.420,2379.746
322.059,0.616,1623.611
322.681,0.440,2270.617
323.126,0.477,2095.509
323.609,0.408,2450.602
324.022,0.413,2419.532
324.439,0.362,2759.595
324.806,0.385,2600.172
325.196,0.381,2622.456
325.582,0.365,2739.516
325.952,0.389,2571.692
326.345,0.375,2668.752
326.726,0.393,2547.680
327.123,0.363,2752.910
327.491,0.380,2630.935
327.876,0.379,2637.618
328.260,0.385,2597.531
328.649,0.378,2647.905
329.032,0.397,2517.173
329.434,0.372,2691.573
329.810,0.398,2509.530
330.213,0.389,2573.943
330.606,0.375,2670.156
330.985,0.406,2465.653
331.396,0.385,2596.661
331.786,3.618,276.396
335.435,0.521,1919.143
335.961,0.386,2592.272
336.351,0.418,2394.441
336.773,0.403,2481.611
337.182,0.389,2567.579
337.576,0.365,2738.901
337.947,0.399,2504.289
338.351,0.385,2598.969
338.742,0.526,1901.629
339.276,0.445,2246.570
339.726,0.397,2519.463
340.128,0.414,2415.453
340.578,0.381,2624.934
340.964,0.384,2606.705
341.352,0.414,2418.339
341.770,0.382,2620.209
342.157,0.381,2627.713
342.542,0.397,2520.085
342.943,0.378,2648.635
343.325,0.397,2518.422
343.727,0.380,2628.929
344.112,0.380,2633.714
344.497,0.396,2525.571
344.897,0.386,2593.852
345.301,0.377,2651.528
345.800,0.348,2870.231
346.155,0.460,2172.407
346.622,0.420,2380.346
347.047,0.430,2324.803
347.482,0.474,2110.519
347.963,0.441,2267.671
348.411,3.665,272.837
352.093,0.560,1784.666
352.658,0.401,2496.200
353.063,0.583,1714.281
353.651,0.550,1818.298
354.206,0.442,2264.590
354.652,0.465,2151.616
355.122,0.482,2073.962
355.610,0.460,2175.389
356.075,0.547,1828.849
356.627,0.559,1788.416
357.192,0.654,1528.176
357.853,0.735,1360.396
358.595,0.649,1540.400
359.249,0.613,1630.040
359.868,0.596,1678.021
360.469,0.523,1910.253
360.997,0.494,2024.373
361.496,0.504,1984.651
362.005,0.408,2448.040
362.418,0.456,2193.598
362.879,0.426,2348.123
363.309,0.400,2497.116
363.714,0.406,2463.188
364.125,0.466,2148.099
364.599,0.401,2493.878
365.004,3.790,263.850
368.815,0.528,1893.947
369.368,0.417,2395.468
369.790,0.389,2573.983
370.183,0.413,2419.825
370.601,0.379,2641.045
370.984,0.375,2663.584
371.364,0.395,2532.870
371.763,0.376,2662.357
372.153,0.378,2648.375
372.535,0.382,2615.706
372.921,0.373,2683.454
373.298,0.394,2536.288
373.697,0.374,2675.657
374.075,0.390,2561.764
374.470,0.385,2594.969
374.860,0.373,2682.965
375.237,0.399,2505.330
375.640,0.371,2694.626
376.016,0.391,2555.016
376.411,0.396,2524.468
376.812,0.363,2752.880
377.180,0.401,2492.057
377.585,0.362,2759.283
377.952,0.389,2572.638
378.345,0.381,2623.405
378.730,0.371,2692.225
379.106,0.388,2579.128
379.498,0.409,2446.657
379.912,0.405,2469.904
380.342,0.493,2029.097
380.841,0.430,2325.095
381.276,0.452,2213.795
381.733,3.563,280.646
385.316,0.513,1949.409
385.833,0.387,2581.378
386.226,0.398,2513.599
386.629,0.412,2428.098
387.045,0.376,2661.103
387.425,0.392,2551.333
387.822,0.392,2548.219
388.219,0.388,2575.282
388.632,0.538,1859.220
389.177,0.524,1909.581
389.707,0.560,1786.620
390.273,0.629,1590.447
390.908,0.755,1324.988
391.668,0.774,1291.422
392.448,0.628,1591.528
393.082,0.618,1619.003
393.705,0.635,1574.297
394.347,0.642,1558.290
395.015,0.634,1578.520
395.653,0.748,1336.789
396.428,0.786,1271.464
397.236,0.661,1512.322
397.906,0.766,1305.256
398.678,0.611,1636.937
399.297,2.825,353.985
402.142,3.441,290.616
405.665,0.672,1487.803
406.348,0.459,2180.131
406.811,0.411,2431.824
407.231,0.427,2340.451
407.662,0.387,2582.031
408.055,0.485,2061.834
408.577,0.462,2163.729
409.044,0.376,2658.669
409.426,0.427,2344.589
409.860,0.422,2368.248
410.287,0.454,2204.415
410.746,0.375,2665.593
411.125,0.408,2452.273
411.538,0.421,2376.866
411.963,0.384,2605.313
412.351,0.389,2571.183
412.745,0.374,2670.469
413.124,0.383,2609.719
413.511,0.391,2557.689
413.907,0.452,2213.761
414.372,0.470,2125.606
414.847,0.484,2064.060
415.339,4.414,226.570
419.797,0.542,1845.202
420.344,0.436,2294.488
420.785,0.443,2258.019
421.233,0.441,2268.320
421.679,0.419,2388.510
422.102,0.604,1654.774
422.727,0.597,1676.168
423.332,0.576,1736.090
423.916,0.654,1528.386
424.579,0.678,1475.429
425.265,0.799,1252.028
426.073,0.727,1375.908
426.807,0.621,1609.938
427.435,0.611,1637.615
428.052,0.570,1753.844
428.629,0.593,1686.287
429.228,0.500,1998.266
429.733,0.544,1836.750
430.286,0.513,1947.924
430.804,0.475,2104.820
431.284,0.551,1816.293
431.840,3.995,250.286
435.876,0.647,1546.716
436.528,0.563,1776.698
437.118,0.499,2004.964
437.622,0.452,2210.819
438.079,0.458,2184.632
438.542,0.615,1625.567
439.180,0.542,1845.608
439.733,0.593,1685.980
440.337,0.564,1772.082
440.913,0.441,2269.401
441.359,0.466,2145.085
441.832,0.457,2186.194
442.296,0.425,2354.526
442.727,0.437,2289.157
443.171,0.439,2275.328
443.617,0.426,2348.493
444.049,0.421,2374.829
444.477,0.442,2263.278
444.925,0.418,2389.515
445.350,0.410,2436.980
445.767,0.438,2282.250
446.212,0.433,2307.311
446.652,0.432,2314.247
447.091,0.406,2465.234
447.503,0.420,2379.485
447.928,0.409,2447.423
448.342,3.741,267.288
452.101,0.511,1957.602
452.616,0.387,2587.315
453.007,0.380,2632.473
453.392,0.404,2478.204
453.800,0.369,2707.246
454.182,0.380,2633.783
454.566,0.364,2747.336
454.934,0.374,2671.697
455.313,0.522,1916.561
455.845,0.468,2138.530
456.321,0.490,2039.605
456.818,0.447,2237.948
457.272,0.428,2336.760
457.707,0.411,2435.899
458.124,0.420,2378.251
458.559,0.410,2439.768
458.975,0.403,2483.966
459.384,0.413,2422.880
459.803,0.409,2443.936
460.219,0.421,2373.904
460.658,0.411,2430.760
461.076,0.408,2451.665
461.490,0.401,2491.696
461.898,0.452,2214.378
462.356,0.408,2448.562
462.771,0.407,2454.777
463.185,0.451,2219.283
463.641,0.433,2311.145
464.081,0.429,2328.766
464.516,0.427,2339.991
464.947,3.522,283.938
468.490,0.504,1985.218
468.999,0.373,2681.698
469.377,0.395,2533.396
469.776,0.460,2173.696
470.241,0.372,2689.553
470.617,0.367,2725.635
470.989,0.353,2834.130
471.346,0.370,2701.016
471.721,0.447,2237.387
472.187,0.635,1575.207
472.836,0.457,2188.763
473.299,0.480,2082.643
473.784,0.458,2184.265
474.247,0.462,2166.082
474.714,0.446,2242.047
475.165,0.425,2355.102
475.594,0.391,2560.321
475.990,0.410,2440.650
476.405,0.409,2443.757
476.819,0.394,2540.889
477.217,0.436,2294.662
477.657,0.407,2454.512
478.090,0.397,2516.173
478.492,0.464,2155.080
478.961,0.398,2509.920
479.364,0.474,2107.482
479.843,0.441,2269.143
480.289,0.397,2517.376
480.691,0.449,2226.869
481.147,0.550,1817.310
481.711,0.480,2085.384
482.197,1.436,696.440
483.653,3.292,303.737
486.967,0.546,1831.982
487.519,0.497,2012.429
488.020,0.476,2102.903
488.500,0.488,2049.726
488.993,0.379,2640.954
489.376,0.398,2514.597
489.778,0.393,2547.122
490.176,0.515,1941.619
490.699,0.482,2075.955
491.186,0.537,1862.981
491.729,0.514,1945.196
492.248,0.607,1647.376
492.861,0.703,1423.161
493.569,0.649,1540.414
494.226,0.937,1066.799
495.188,0.754,1326.739
495.962,0.738,1355.168
496.716,0.571,1751.369
497.298,0.567,1763.457
497.871,0.533,1877.155
498.409,0.515,1941.721
498.929,3.608,277.196
502.604,0.576,1737.251
503.188,0.406,2460.249
503.600,0.488,2049.395
504.094,0.437,2289.440
504.536,0.394,2540.115
504.935,0.358,2796.812
505.297,0.387,2581.191
505.689,0.393,2546.194
506.087,0.348,2876.671
506.439,0.344,2905.853
506.788,0.349,2868.181
507.141,0.342,2923.062
507.488,0.349,2868.494
507.841,0.355,2817.933
508.200,0.339,2946.992
508.544,0.349,2862.377
508.898,0.357,2802.942
509.259,0.379,2637.270
509.643,0.364,2744.915
510.011,0.355,2818.203
510.371,0.355,2817.989
510.730,0.364,2747.562
511.099,0.378,2642.720
511.481,0.373,2683.404
511.858,0.405,2466.785
512.268,0.339,2947.522
512.612,0.419,2386.458
513.035,0.486,2058.566
513.526,0.411,2433.664
513.941,0.376,2657.461
514.321,0.436,2291.302
514.762,0.406,2465.179
515.172,3.670,272.485
518.863,0.491,2035.354
519.359,0.392,2549.375
519.756,0.355,2813.304
520.116,0.376,2656.882
520.497,0.348,2873.002
520.850,0.337,2966.303
521.192,0.340,2944.641
521.536,0.343,2911.327
521.884,0.443,2257.520
522.334,0.590,1694.085
522.967,0.664,1505.856
523.650,0.783,1276.847
524.464,0.987,1013.181
525.479,0.915,1092.817
526.417,0.847,1180.118
527.273,0.739,1352.966
528.020,0.434,2304.572
528.459,0.461,2167.077
528.925,0.370,2706.067
529.299,0.380,2630.361
529.684,0.375,2663.350
530.084,0.417,2398.898
530.507,0.474,2108.455
530.986,0.474,2107.482
531.465,0.509,1964.023
531.978,4.667,214.254
536.664,0.718,1393.616
