timestamp_ms,frame_time_ms,fps,draw_calls,render_components_ms,poll_events_ms,begin_frame_ms,end_frame_ms,profiler_ui_ms,text_update_ms
24.287,36.512,27.388,15,2.065,0.019,0.043,4.203,29.985,29.748
60.855,298.895,3.346,15,0.852,0.126,0.059,10.200,287.542,287.393
359.773,22.271,44.901,15,0.858,0.006,0.043,1.075,20.215,20.084
382.060,13.857,72.165,15,0.800,0.026,0.028,0.288,12.670,12.564
395.933,14.699,68.034,15,0.889,0.012,0.023,0.279,13.459,13.362
410.647,20.430,48.947,15,0.724,0.012,0.020,0.274,19.364,19.244
431.091,4.955,201.817,15,0.777,0.010,0.029,0.275,3.830,3.731
436.059,6.713,148.975,15,0.754,0.009,0.025,0.266,5.625,5.535
442.785,7.857,127.269,15,0.764,0.009,0.027,0.276,6.748,6.655
450.655,7.858,127.254,15,0.748,0.010,0.026,0.265,6.777,6.683
458.527,7.247,137.995,15,0.706,0.010,0.024,0.328,6.145,6.053
465.787,3.572,279.978,15,0.708,0.010,0.025,0.274,2.522,2.429
469.373,8.366,119.531,15,0.680,0.010,0.024,0.280,7.339,7.206
477.759,8.977,111.391,15,1.124,0.016,0.044,0.478,7.250,7.101
486.749,7.942,125.919,15,0.742,0.010,0.025,0.253,6.878,6.784
494.705,6.400,156.259,15,0.739,0.010,0.025,0.278,5.316,5.231
501.118,6.873,145.504,15,0.729,0.010,0.025,0.264,5.811,5.726
508.004,7.382,135.466,15,0.742,0.009,0.024,0.263,6.309,6.218
515.399,4.102,243.794,15,0.727,0.010,0.025,0.281,3.026,2.943
519.514,6.446,155.133,15,0.734,0.009,0.023,0.264,5.374,5.287
525.973,7.928,126.134,15,0.707,0.010,0.024,0.262,6.893,6.778
533.914,6.868,145.603,15,0.754,0.011,0.027,0.265,5.777,5.689
540.795,7.858,127.262,15,0.734,0.010,0.024,0.284,6.774,6.682
548.666,4.662,214.506,15,0.741,0.009,0.025,0.275,3.577,3.490
553.345,6.771,147.687,15,0.717,0.010,0.026,0.287,5.698,5.611
560.129,7.740,129.194,15,0.712,0.009,0.024,0.264,6.697,6.604
567.883,7.286,137.242,15,0.759,0.010,0.025,0.268,6.191,6.099
575.183,7.383,135.448,15,0.769,0.010,0.024,0.262,6.285,6.196
582.579,4.878,205.008,15,0.701,0.010,0.025,0.265,3.844,3.757
587.470,6.522,153.331,15,0.981,0.010,0.024,0.261,5.214,5.123
594.005,7.810,128.040,15,0.751,0.009,0.024,0.278,6.715,6.622
601.828,7.102,140.806,15,0.720,0.010,0.025,0.266,6.048,5.953
608.943,8.230,121.504,15,0.733,0.010,0.026,0.291,7.138,7.047
617.187,7.021,142.432,15,0.749,0.010,0.024,0.268,5.937,5.849
624.222,4.947,202.143,15,0.426,0.010,0.024,0.267,4.188,4.099
629.182,6.167,162.148,15,0.975,0.010,0.024,0.272,4.852,4.768
635.363,7.373,135.625,15,0.668,0.010,0.024,0.264,6.375,6.286
642.749,7.404,135.070,15,0.764,0.010,0.023,0.277,6.297,6.207
650.166,7.505,133.238,15,0.706,0.010,0.025,0.270,6.463,6.372
