timestamp_ms,frame_time_ms,fps,draw_calls,render_components_ms,poll_events_ms,begin_frame_ms,end_frame_ms,profiler_ui_ms,text_update_ms
48.330,26.273,38.062,15,2.220,0.019,0.049,4.152,19.639,19.395
74.655,297.038,3.367,15,0.911,0.270,0.062,4.286,291.390,291.158
371.729,24.423,40.946,15,1.671,0.007,0.054,1.256,21.323,21.211
396.172,15.768,63.421,15,1.064,0.028,0.034,0.316,14.272,14.171
411.953,9.838,101.645,15,0.758,0.015,0.019,0.263,8.743,8.635
421.821,15.172,65.912,15,1.513,0.026,0.037,0.443,13.070,12.915
437.012,8.811,113.494,15,0.933,0.017,0.040,0.293,7.472,7.390
445.836,14.983,66.740,15,0.779,0.011,0.030,0.279,13.845,13.752
460.834,7.135,140.151,15,0.697,0.011,0.027,0.272,6.091,6.000
467.982,7.193,139.031,15,0.790,0.010,0.024,0.275,6.059,5.982
475.188,4.720,211.877,15,0.694,0.009,0.023,0.298,3.659,3.558
479.935,6.322,158.171,15,1.378,0.019,0.055,0.456,4.343,4.217
486.274,6.670,149.916,15,0.805,0.012,0.031,0.271,5.515,5.436
492.957,6.785,147.377,15,0.701,0.010,0.026,0.261,5.751,5.674
499.755,6.972,143.437,15,1.107,0.009,0.025,0.461,5.320,5.188
506.743,4.610,216.910,15,0.814,0.013,0.030,0.286,3.424,3.329
511.381,7.513,133.096,15,1.259,0.023,0.063,0.492,5.593,5.447
518.912,6.681,149.685,15,0.764,0.013,0.032,0.289,5.541,5.461
525.605,6.022,166.061,15,0.748,0.010,0.025,0.282,4.925,4.843
531.640,4.515,221.507,15,0.704,0.009,0.023,0.271,3.474,3.398
536.168,6.248,160.050,15,0.737,0.010,0.023,0.281,5.165,5.085
542.429,7.166,139.539,15,0.717,0.010,0.023,0.273,6.111,6.031
549.608,4.662,214.487,15,0.750,0.009,0.024,0.276,3.571,3.492
554.284,6.510,153.617,15,0.768,0.010,0.025,0.278,5.394,5.316
560.807,6.586,151.846,15,0.738,0.009,0.023,0.283,5.501,5.338
567.419,6.334,157.873,15,0.885,0.018,0.046,0.439,4.883,4.787
573.765,4.996,200.145,15,0.756,0.009,0.022,0.263,3.914,3.837
578.774,6.683,149.644,15,0.725,0.009,0.023,0.278,5.616,5.540
585.469,7.255,137.834,15,0.764,0.009,0.022,0.257,6.172,6.094
592.738,7.258,137.773,15,0.754,0.009,0.023,0.260,6.178,6.081
600.009,3.737,267.600,15,0.758,0.009,0.022,0.267,2.650,2.560
603.759,6.768,147.756,15,0.755,0.009,0.022,0.252,5.697,5.618
610.541,7.612,131.377,15,0.773,0.010,0.024,0.266,6.505,6.426
618.166,6.163,162.268,15,0.735,0.009,0.023,0.269,5.095,4.998
624.342,4.291,233.045,15,0.736,0.009,0.022,0.271,3.222,3.140
628.647,6.407,156.070,15,0.752,0.018,0.038,0.258,5.306,5.229
635.067,6.170,162.067,15,0.679,0.009,0.048,0.257,5.145,5.049
641.250,8.426,118.676,15,0.681,0.009,0.023,0.268,7.412,7.235
649.704,5.149,194.225,15,0.961,0.019,0.048,0.477,3.577,3.494
654.866,6.452,154.983,15,0.755,0.009,0.023,0.278,5.354,5.274
661.331,6.138,162.929,15,0.713,0.010,0.023,0.277,5.073,4.996
667.481,6.722,148.772,15,0.752,0.009,0.022,0.262,5.644,5.567
674.216,4.579,218.389,15,0.730,0.009,0.023,0.276,3.509,3.432
678.807,6.729,148.611,15,0.723,0.009,0.024,0.256,5.684,5.594
685.549,7.466,133.934,15,0.733,0.009,0.022,0.254,6.416,6.337
693.028,7.105,140.752,15,0.758,0.009,0.023,0.270,6.012,5.936
700.146,4.185,238.940,15,0.738,0.009,0.021,0.272,3.113,3.040
704.343,5.659,176.717,15,0.723,0.010,0.022,0.268,4.604,4.530
710.015,7.596,131.650,15,0.757,0.009,0.023,0.301,6.473,6.377
717.624,6.732,148.542,15,0.703,0.010,0.024,0.262,5.698,5.622
724.369,4.683,213.544,15,0.799,0.011,0.029,0.282,3.522,3.442
729.066,7.166,139.555,15,0.786,0.011,0.040,0.305,5.984,5.904
736.245,5.392,185.449,15,0.763,0.010,0.026,0.296,4.260,4.183
741.651,6.465,154.684,15,0.795,0.010,0.024,0.261,5.339,5.232
748.143,5.006,199.756,15,0.771,0.019,0.025,0.273,3.881,3.804
753.162,6.052,165.232,15,0.734,0.009,0.023,0.309,4.944,4.865
759.227,7.012,142.618,15,0.754,0.010,0.025,0.270,5.921,5.836
766.252,4.568,218.906,15,0.751,0.010,0.023,0.274,3.478,3.397
770.836,6.454,154.942,15,0.763,0.010,0.025,0.265,5.355,5.276
777.304,6.431,155.490,15,0.708,0.009,0.023,0.292,5.367,5.282
783.748,6.553,152.602,15,0.751,0.010,0.024,0.259,5.477,5.398
790.315,4.071,245.666,15,0.714,0.010,0.023,0.272,3.019,2.941
794.398,6.612,151.237,15,0.756,0.010,0.023,0.265,5.527,5.447
801.024,6.320,158.233,15,0.765,0.010,0.023,0.273,5.216,5.137
807.357,5.045,198.230,15,0.750,0.009,0.022,0.270,3.962,3.881
812.415,6.407,156.081,15,0.763,0.010,0.023,0.254,5.325,5.246
